2C3274, https://www.microcenter.com/product/611554/inland-175mm-dark-blue-pla-3d-printer-filament-1kg-spool-(22-lbs), None, PLA+, Inland, https://www.microcenter.com, Dark Blue
FBFCF4, https://eolasprints.com/products/pla-filament-1-75-mm?variant=42329912541443, None, PLA+, Eolas Prints, https://eolasprints.com/, Beige / Off White
FDA33A, https://www.microcenter.com/product/623250/inland-175mm-orange-tough-pla-3d-printer-filament-1kg-spool-(22-lbs), https://amzn.to/3j2t34U, PLA+, Inland, https://www.microcenter.com, Orange
F8160A, https://us.polymaker.com/products/polymax-pla?variant=39574349643833, None, PolyMax PLA, Polymaker, https://polymaker.com/, Red
FCFCFC, None, https://amzn.to/365PGmo, PLA+, eSUN, https://esun3dstore.com/, Cool White
B0784F, None, https://amzn.to/3N7Z8WI, PLA+, eSUN, https://esun3dstore.com/, Brown
FBFB04, None, https://www.amazon.com/eSUN-1-75mm-Purple-Printer-Filament/dp/B01EKEMS06/ref=sr_1_3?keywords=eSUN%2BPurple%2BPLA&qid=1647751043&sr=8-3&th=1, PLA+, eSUN, https://esun3dstore.com/, Yellow
9606BC, None, https://amzn.to/3L182U2, PLA+, eSUN, https://esun3dstore.com/, Purple
2F2C2F, None, https://amzn.to/3J5dK64, PLA+, Inland, https://www.microcenter.com, Black
FA8406, None, https://amzn.to/3IowSvI, PLA+, Kodak, https://www.kodak.com/US/en/consumer/products/3d-printing/default.htm?cid=go&idhbx=3dprinting, Orange
D9090E, https://esun3dstore.com/collections/3d-printing-filament/products/esun-3d-printer-filament-pla-1-75mm-dimensional-accuracy-0-03mm-1kg-2-2-lbs-spool-3d-printing-material-for-3d-printers?variant=3805095, https://amzn.to/3x1a2Il, PLA+, eSUN, https://esun3dstore.com/, Fire Engine Red
CEE6F5, None, None, HTPLA, Proto-Pasta, https://www.proto-pasta.com, Powder Puff Unicorn
0EBDF9, https://www.proto-pasta.com/products/glitter-flake-htpla-v2-winter-blue?_pos=1&_sid=66faec986&_ss=r&aff=102, https://amzn.to/2YCuAE3, HTPLA, Proto-Pasta, https://www.proto-pasta.com, Winter Blue Glitter Flake
